title,authors,first_publish_year,edition_count,publishers,isbn,subjects,description
Machine Learning,Gang Chen,2017,1,,,,
Machine Learning,Ottavio Calzone,2018,1,,,,
Machine Learning,Ivy Wright,2022,1,,,,
Machine Learning,Kevin Spencer,2018,1,,,,
Machine Learning Vol. III,"Yves Kodratoff, Ryszard S. Michalski",1990,1,,,Machine learning,
Machine Learning,Raghava Shankar,2018,1,,,,
Agile Machine Learning,"Eric Carter, Matthew Hurst",2019,1,,,,
Machine Learning,Tom M. Mitchell,1986,1,,,"Computer science, Artificial intelligence",
Secrets Machine Learning How Machines Hb : Secrets of Machine Learning,(TOM),2024,1,,,,
Machine Learning,Steve M. BECKER,2022,1,,,,
Machine Learning,Thomas Mitchell,,0,,,,
Bioinformatics,Pierre Baldi,1998,6,,,"Molecular biology, Mathematical models, Markov processes, Neural networks (Computer science), Computer simulation, Bioinformatics, Machine learning, Artificial Intelligence, Computer Neural Networks, Theoretical Models, Markov Chains, Computational Biology, Methods, Bio-informatique, Biologie moléculaire, Simulation par ordinateur, Modèles mathématiques, Réseaux neuronaux (Informatique), Apprentissage automatique, Processus de Markov, SCIENCE, Life Sciences, Computers &amp; the internet, Computer engineering, Biology & life sciences, Robotics & artificial intelligence, Mathematics, Computers - general & miscellaneous, Biology, Mathematical modeling","Pierre Baldi and Soren Brunak present the key machine learning approaches and apply them to the computational problems encountered in the analysis of biological data. The book is aimed at two types of researchers and students. First are the biologists and biochemists who need to understand new data-driven algorithms, such as neural networks and hidden Markov models, in the context of biological sequences and their molecular structure and function. Second are those with a primary background in physics, mathematics, statistics, or computer science who need to know more about specific applications in molecular biology."
The Yearling,Marjorie Kinnan Rawlings,1938,65,,,"3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, Age 4 - 8, Age 9 - 11, Age 12 and Up, Animals, award:pulitzer_prize=1939, award:pulitzer_prize=fiction, Bears, Boys, Children's Fiction, Classics, Coming of age, Deer, Deer as pets, Dialects, does, English language, Family, farmers, Farm life, fawns, Fiction, Folklore, Human-animal relationships, hunters, Juvenile fiction, juvenile literature, Legends and stories, Parent and child, Post Civil War, Pulitzer Prize Winner, rattlesnakes, Readers, Reading Level-Grade 7, Reading Level-Grade 8, Reading Level-Grade 9, Reading Level-Grade 10, Reading Level-Grade 11, Reading Level-Grade 12, Wild animals as pets, Florida, fiction, Deer, fiction, Parent and child, fiction, Farm life, fiction, Boys, fiction, Family life, fiction, Study and teaching, Foreign speakers, Anglais (Langue), Étude et enseignement, Allophones, Animaux sauvages (Animaux familiers), Romans, nouvelles, Parents et enfants, Vie à la ferme, Cerfs, Garçons, English language, juvenile literature, Young adult fiction","Young Jody adopts an orphaned fawn he calls Flag after a fatal encounter with his mother and makes it a part of his family and his best friend. But life in the Florida backwoods is harsh, and so, as his family fights off wolves, bears, and even alligators, and faces failure in their tenuous subsistence farming, Jody must finally part with his dear animal friend.


----------
Also contained in:

 - [Reader's Digest Best Loved Books for Young Readers: Volume Nine](https://openlibrary.org/works/OL15158482W)"
Machine Learning Engineering,Andriy Burkov,2020,2,,,,"""Andriy Burkov. (2020). Machine Learning Engineering"" is a comprehensive book that focuses on the practical aspects of machine learning in the context of engineering and real-world applications. Here's a concise description:

This book, authored by Andriy Burkov, offers valuable insights into the field of Machine Learning Engineering. It provides a practical and hands-on approach to the implementation of machine learning models in real-world scenarios. The book covers various aspects of the machine learning lifecycle, including data collection, preprocessing, model training, deployment, and maintenance. It emphasizes the importance of bridging the gap between research and production by addressing practical challenges in scaling and managing machine learning systems. ""Machine Learning Engineering"" is a valuable resource for software engineering students interested in applying machine learning techniques in entrepreneurship and finance, as it provides guidance on turning ML concepts into practical solutions."
Python Machine Learning,Wei-Meng Lee,2019,3,,,"Machine learning, Python (computer program language), Python (Computer program language), Python (Langage de programmation), Apprentissage automatique, COMPUTERS, Programming Languages, Python, Python (Llenguatge de programació)",
Machine Learning with Quantum Computers,"Maria Schuld, Francesco Petruccione",2021,3,,,,
Ensemble Machine Learning,Cha Zhang,2012,4,,,"Computer Science, general, Computer science, Data Mining and Knowledge Discovery, Data mining, Engineering, Computational intelligence, Machine learning",
Machine Learning and Python : Basics Guide to Learn Machine Learning and Programming,Curt Yoon,2021,1,,,,
Python Machine Learning for Beginners,Ken Douglas,2020,1,,,,
AI and Machine Learning for Coders,Laurence Moroney,2020,1,,,"Information theory, Machine theory, Natural language processing (computer science), Computer programming, Machine learning, Artificial intelligence, Nonfiction",
Machine Learning,Scott Chesterton,2019,1,,,,
Machine learning in image steganalysis,Hans Georg Schaathun,2012,6,,,"Machine learning, Wavelets (Mathematics), SCIENCE / Waves & Wave Mechanics, Data encryption (Computer science)","""The only book to look at steganalysis from the perspective of machine learning theory, and to apply the common technique of machine learning to the particular field of steganalysis; ideal for people working in both disciplines""--"
Machine Learning,IRMA,2011,2,,,,
Quantum Machine Learning,S. Karthikeyan,2024,1,,,Science,
Automated Machine Learning,"Frank Hutter, Lars Kotthoff, Joaquin Vanschoren",2019,2,,,,
Machine learning,Antonio Robert,2019,1,,,,
Introduction to Machine Learning,Ethem Alpaydin,2009,5,,,Machine learning,
Machine Learning with Python,Paige Jacobs,2019,3,,,,
Machine Learning in Finance,"Matthew F. Dixon, Igor Halperin, Paul Bilokon",2020,3,,,,
Machine Learning,Adam Jaxon,2019,1,,,,
Machine Learning by Tutorials,"raywenderlich Tutorial Team, Alexis Gallagher, Matthijs Hollemans, Audrey Tam, Chris LaPollo",2020,1,,,"Computer software, Education",
How Machine Learning Works,Cordia Detommaso,2022,1,,,,
Statistical Machine Learning Applicatihb,GORDON,2024,1,,,,
Machine Learning in Microservices,"Mohamed Abouahmed, Omar Ahmed",2023,1,,,,
Machine Learning,Jennifer Grange,2018,1,,,,
The Long Winter,Laura Ingalls Wilder,1940,62,,,"Blizzards, Juvenile fiction, Families, Frontier and pioneer life, Spanish language materials, Fiction, Frontier and pioneer life, fiction, Children's fiction, Social life and customs, Frontier and life, Family life, Family, Newbery Honor Book, History, Newbery Honor, Family life, fiction, South dakota, fiction, Winter, fiction, West (u.s.), fiction, 19e siècle, Pionniers, English fiction, Family, fiction","After an October blizzard, Laura's family moves from the claim shanty into town for the winter, a winter that an Indian has predicted will be seven months of bad weather."
Multimodal Machine Learning,"Santosh Kumar, Sanjay Kumar Singh",2021,2,,,Science,
Machine Learning,"Manjusha Pandey, Siddharth Swarup Rautaray",2021,2,,,,
Machine Learning Basics,Arun Jagota,2020,1,,,,
Machine Learning,"Minsoo Kang, Eunsoo Choi",2021,2,,,Science,
Machine Learning Systems,Jeffrey Smith,2018,1,,,,
Machine learning,"R. Forsyth, R. Rada",1986,1,,,"Expertensystem, Systèmes experts (Informatique), Apprentissage automatique, Expert systems (Computer science), Expertsystemen, Künstliche Intelligenz, Machine learning, Information retrieval, Machine-learning, Recherche de l'information, Information Retrieval, Systèmes d'information, Intelligence artificielle",
Basics of Machine Learning : Train a Machine Learning Model,Inger Kullman,2021,1,,,,
Machine Learning Paradigms,"Aristomenis S. Lampropoulos, George A. Tsihrintzis",2015,12,,,"Artificial intelligence, Computational intelligence, Machine learning, Immune system, Data mining",
Machine Learning for Beginners : Code Basic Machine Learning Models Using Python,Kym Yeaman,2021,1,,,,
Machine Learning for Beginners,John Slavio,2017,3,,,,
Machine learning : an artificial intelligence approach,"Ryszard S. Michalski, Jaime G. Carbonell, Tom M. Mitchell",1986,1,,,"Computers, Artificial intelligence",
Machine Learning,Rudolph Russell,2018,2,,,,
Adversarial Machine Learning,"Yevgeniy Vorobeychik, Murat Kantarcioglu",2018,4,,,,
Introducing Machine Learning,"Dino Esposito, Francesco Esposito",2020,3,,,,
Applied Machine Learning,David Forsyth,2019,2,,,,
MATLAB Machine Learning,"Michael Paluszek, Stephanie Thomas",2016,3,,,,
Machine Learning Refined,"Jeremy Watt, Reza Borhani, Aggelos Katsaggelos",2016,4,,,,
Machine Learning in Cognitive Iot,"Neeraj Kumar, Aaisha Makkar",2020,5,,,"Embedded computer systems, Machine learning, Internet of things, Systèmes enfouis (Informatique), Apprentissage automatique, Internet des objets, COMPUTERS, Machine Theory, Computer Engineering, MATHEMATICS, General",
Machine Learning,Irma,2011,1,,,,
Machine Learning,Oliver Theobald,2018,1,,,,
Machine Learning,Charles River Charles River Editors,2018,1,,,,
Machine Learning,Information Resources Management Association,2011,1,,,,
Machine Learning,Charles River Charles River Editors,2018,1,,,,
Machine Learning Paradigms,Aboul Ella Hassanien,2018,1,,,Machine learning,
Machine Learning,"Roger Inge, Jan Leif",2017,1,,,Machine learning,
Genetic algorithms for machine learning,John J. Grefenstette,1994,1,,,"Genetic algorithms, Machine learning, Genetics, Algorithms",
Machine Learning Fundamentals,"Amar Sahay, Rajeev Sahay",2025,1,,,Business,
Machine learning,"Information Resources Management Association, Mehdi Khosrowpour",2012,1,,,"Industrial applications, Software engineering, Machine learning","""This reference offers a wide-ranging selection of key research in a complex field of study,discussing topics ranging from using machine learning to improve the effectiveness of agents and multi-agent systems to developing machine learning software for high frequency trading in financial markets""--Provided by publisher."
Machine learning,"Haiqin Yang, Irwin King, Michael R. Lyu",2008,1,,,Machine learning,
Machine Learning,Sebastian Dark,2018,2,,,,
Machine Learning for Factor Investing,"Guillaume Coqueret, Tony Guida",2020,10,,,,
Machine Learning for Beginners : Taking First Steps in Machine Learning,Desmond Vidro,2021,1,,,,
Machine Learning and Artificial Intelligence,Wanetta Tarman,2022,1,,,,
Machine Learning with Health Care Perspective,"Vishal Jain, Jyotir Moy Chatterjee",2020,2,,,"Biomedical engineering, Engineering",
Machine learning,"J.G. Michalski, T.M. Carbonell, R.S. Mitchell",1983,2,,,"Apprentissage automatique, Intelligence artificielle",
Deep Machine Learning,Joe Grant,2019,3,,,,
Tutorials on Machine Learning,Chasity Croman,2022,1,,,,
Transformers for Machine Learning,"Uday Kamath, Wael Emara, Kenneth L. Graham",2022,5,,,,
Machine Learning,Philip A. Bernstein,2022,4,,,"Architecture and technology, Artificial intelligence, Industrial applications, ARCHITECTURE / Study & Teaching, Architecture et technologie, Intelligence artificielle, Applications industrielles",
"Machine Learning, Animated",Mark Liu,2023,4,,,,
Machine learning of natural language,David M. W. Powers,1989,2,,,"Machine learning, Natural language processing (Computer science), Maschinelles Lernen, Apprentissage automatique, Traitement automatique des langues naturelles, Langage naturel, Traitement du (informatique), Natürliche Sprache",
Machine learning and image interpretation,Terry Caelli,1997,3,,,"Optical pattern recognition, Digital techniques, Image processing, Machine learning, Image processing, digital techniques",
Machine Learning with Python,Charles Countess,2021,4,,,,
Artificial Intelligence and Machine Learning,"Vinod Chandra, Anand Hareendran",2014,1,,,,
Advances in Financial Machine Learning,Marcos Lopez de Prado,2018,3,,,,
Machine Learning,Steven Alex,2019,1,,,,
Machine Learning with Python,Gavin Melia,2020,1,,,,
Python Machine Learning,Leonard Lee,2018,1,,,,
Machine Learning Solutions,Jalaj Thanaki,2018,1,,,,
Machine Learning Cheat Sheet,Wei Zhang,2020,1,,,,
Machine Learning,Thomas R. Joahnson,2019,1,,,,
Machine Learning,Ken Richards,2018,2,,,,
Machine Learning,Sergios Theodoridis,2015,5,,,"Machine learning, Mathematical optimization, Bayesian statistical decision theory, Signal processing, Electromagnetism, Image processing","""This tutorial text gives a unifying perspective on machine learning by covering both probabilistic and deterministic approaches--which are based on optimization techniques--together with the Bayesian inference approach, whose essence lies in the use of a hierarchy of probabilistic models""--Publisher's website."
Adversarial Machine Learning,"Anthony D. Joseph, Blaine Nelson, Benjamin I. P. Rubinstein, J. D. Tygar",2017,3,,,"Machine learning, Computer security",
Quantum Machine Learning,"Siddhartha Bhattacharyya, Indrajit Pan, Ashish Mani, Elizabeth Behrman, Susanta Chakraborti",2020,3,,,"Information technology, Neural networks (computer science), Computer algorithms, Mathematical physics, Quantum theory, Artificial intelligence",
Introduction to Machine Learning : Explains Machine Learning for Beginners of All Levels,Reed Banick,2021,1,,,,
Online Machine Learning,"Thomas Bartz-Beielstein, Eva Bartz",2023,3,,,,
Machine Learning,"Andrea Mechelli, Sandra Vieira",2019,2,,,,
Machine Learning for Beginners,Uditha Bandara,2019,1,,,,
Machine learning methods for planning,Steven Minton,1993,2,,,"Artificial intelligence, Machine learning",
Thoughtful Machine Learning,Matthew Kirk,2014,2,,,"Machine learning, Algorithms, Data mining, Testing",
Combinatorial Machine Learning,Mikhail Moshkov,2011,3,,,"Engineering, Artificial intelligence, Machine learning, Combinatorial analysis",
Dataset shift in machine learning,Joaquin Quiñonero-Candela,2008,3,,,Machine learning,
Machine Learning Using TensorFlow Cookbook,"Alexia Audevart, Konrad Banachewicz, Luca Massaron",2021,1,,,Science,
Machine Learning Introduction for Senior : the Role of Machine Learning,Rudolph Dildy,2021,1,,,,
Machine Learning : 2 Manuscripts in 1 Book,Hein Smith,2019,1,,,,
Python Machine Learning,Ryan Turner,2019,4,,,,
Machine Learning,Michael Colins,2017,1,,,,
Machine Learning Foundations,Taeho Jo,2021,2,,,,
Programming Machine Learning,Paolo Perrotta,2020,1,,,,
Machine Learning,Thomas Olivarria,2019,1,,,,
Machine Learning for Kids,Dale Lane,2020,1,,,Science,
Introduction to machine learning and bioinformatics,"Sushmita Mitra, Sujay Datta, Theodore Perkins, George Michailidis",2008,9,,,"Bioinformatics, Machine learning, Artificial intelligence, Computational Biology, Artificial Intelligence, Bio-informatique, Apprentissage automatique, Intelligence artificielle, Maschinelles Lernen, Bioinformatik",
Pattern recognition and machine learning,"Japan-U.S. Seminar on the Learning Process in Control Systems Nagoya, Japan 1970.",1971,1,,,"Self-organizing systems, Congresses, Pattern recognition systems, Machine learning",
MASTERING MACHINE LEARNING WITH SCIKIT-LEARN,Gavin Hackeling,2014,2,,,Machine learning,
Personalized Machine Learning,Julian McAuley,2022,2,,,,
Numerical Machine Learning,Zhiyuan Wang; Sayed,2023,2,,,,
Machine Learning Methods,"Hang Li, Lu Lin, Huanqiang Zeng",2023,2,,,,
Python Machine Learning,Wei-Meng Lee,2019,1,,,"Machine learning, Python (computer program language)",
Machine Learning Safety,"Xiaowei Huang, Gaojie Jin, Wenjie Ruan",2022,2,,,,
Machine Learning Workflow,Luca Rodolfi,2020,1,,,,
Machine learning in computer vision,Nicu Sebe,2005,2,,,"Computer vision, Machine learning, Computer science, Multimedia systems, Computer Imaging, Vision, Pattern Recognition and Graphics, User Interfaces and Human Computer Interaction, Multimedia Information Systems, Probability and Statistics in Computer Science","It started withimageprocessing inthesixties. Back then, it took ages to digitize a Landsat image and then process it with a mainframe computer. P- cessing was inspired on theachievements of signal processing and was still very much oriented towards programming. In the seventies, image analysis spun off combining image measurement with statistical pattern recognition. Slowly, computational methods detached themselves from the sensor and the goal to become more generally applicable. In theeighties, model-drivencomputervision originated when arti?cial- telligence and geometric modelling came together with image analysis com- nents. The emphasis was on precise analysiswithlittleorno interaction, still very much an art evaluated by visual appeal. The main bottleneck was in the amount of data using an average of 5 to 50 pictures to illustrate the point. At the beginning of the nineties, vision became available to many with the advent of suf?ciently fast PCs. The Internet revealed the interest of the g- eral public im images, eventually introducingcontent-basedimageretrieval. Combining independent (informal) archives, as the web is, urges for inter- tive evaluation of approximate results andhence weak algorithms and their combination in weak classi?ers."
Machine Learning in Medicine,Ton J. M. Cleophas,2013,1,,,"Computer Imaging, Vision, Pattern Recognition and Graphics, Biomedicine, Statistics, Statistics, general, Biomedicine general, Entomology, Medicine/Public Health, general, Computer vision, Medicine, Literacy","Machine learning is concerned with the analysis of large data and multiple variables. However, it is also often more sensitive than traditional statistical methods to analyze small data. The first volume reviewed subjects like optimal scaling, neural networks, factor analysis, partial least squares, discriminant analysis, canonical analysis, and fuzzy modeling. This second volume includes various clustering models, support vector machines, Bayesian networks, discrete wavelet analysis, genetic programming, association rule learning, anomaly detection, correspondence analysis, and other subjects. Both the theoretical bases and the step by step analyses are described for the benefit of non-mathematical readers. Each chapter can be studied without the need to consult other chapters. Traditional statistical tests are, sometimes, priors to machine learning methods, and they are also, sometimes, used as contrast tests. To those wishing to obtain more knowledge of them, we recommend to additionally study (1) Statistics Applied to Clinical Studies 5th Edition 2012, (2) SPSS for Starters Part One and Two 2012, and (3) Statistical Analysis of Clinical Data on a Pocket Calculator Part One and Two 2012, written by the same authors, and edited by Springer, New York."
Statistical Machine Learning,Zhihua Zhang,2017,2,,,,"This book will provide a comprehensive description for statistical machine learning. The book will be helpful for readers from both computer science and statistics communities. Specifically, the first part is especially useful for readers from machine learning or data mining, because machine learning is built on probability and statistics and this part can fill their background in statistics and probability. The third part is very useful for readers from mathematics and statistics, because it can bring new research topics or job opportunities for them."
Machine learning approaches to bioinformatics,Zheng Rong Yang,2010,2,,,"Bioinformatics, Case studies, Machine learning",
Machine Learning with Python,Oliver Theobald,2019,2,,,,
Practical Machine Learning for Computer Vision,"Valliappa Lakshmanan, Martin Görner, Ryan Gillard",2021,3,,,Engineering,
First Course in Machine Learning,"Simon Rogers, Mark Girolami",2011,11,,,Machine learning,
Advanced Machine Learning,Thomas Farth,2018,1,,,,
Python Machine Learning,Alexander Bold,2019,1,,,,
Practical Machine Learning,"Ted Dunning, Ellen Friedman",2014,4,,,"Machine learning, Anomaly detection (Computer security), Development, Case studies",
Multi-Agent Machine Learning,H. M. Schwartz,2014,5,,,"Machine learning, Intelligent agents (computer software), Reinforcement learning, Differential games, Swarm intelligence, TECHNOLOGY & ENGINEERING / Electronics / General",
Machine Learning and IoT,"Shampa Sen, Leonid Datta, Sayak Mitra",2018,5,,,"Biology, data processing, Bioinformatics, Biology, Data processing, Methodology, Biologie, Informatique, Méthodologie, Bio-informatique, NATURE, Reference, SCIENCE, Life Sciences, General",
Distributed machine learning,Gerhard Weiss,1995,1,,,,
Numerical Machine Learning,"Zhiyuan Wang, Sayed Ameenuddin Irfan, Christopher Teoh",2023,1,,,,
Python Machine Learning,Tony F. Charles,2020,1,,,,
Amazon Machine Learning,Asli Bilgin,2019,1,,,,
Applied Machine Learning,"Sai Manoj Pudukotai Dinakarrao, Setareh Rafatirad, Houman Homayoun, Zhiqian Chen",2022,1,,,,
Adversarial Machine Learning,"Yevgeniy Tu, Murat Shi",2018,1,,,,
Machine Learning Experiments,Sanshodhana LP,2016,1,,,,
Sequential Machine Learning,Ben Gimpert,2015,1,,,Machine learning,
Applied Machine Learning,Colin Arrendell,2015,1,,,,
Machine Learning Foundations,Roi Yehoshua,2024,1,,,,
Deploying Machine Learning,Robbie Allen,2020,1,,,"Machine learning, Science",
Multiview Machine Learning,"Shiliang Sun, Liang Mao, Ziang Dong, Lidan Wu",2019,1,,,,
Machine Learning Cookbook,"Paul Dix, Max Kesin",2022,1,,,,
Bayesian machine learning,Sounak Chakraborty,2005,1,,,,"<a href=""http://uf.catalog.fcla.edu/uf.jsp?st=UF028076450%26ix=pm%26I=0%26V=D%26pm=1"" rel=""nofollow"">http://uf.catalog.fcla.edu/uf.jsp?st=UF028076450%26ix=pm%26I=0%26V=D%26pm=1</a>"
Machine Learning Simplified,Jimmy Azar,2018,1,,,,
Informed Machine Learning,"Daniel Schulz, Christian Bauckhage",2025,1,,,,
Scalability of machine learning algorithms,Georgios Paliouras,1993,1,,,,
Machine Learning with Python,David V.,2017,1,,,,
Machine Learning,"Sven Hilbert, Elisabeth Kraus, Alfred Lindl",2024,1,,,,
Wireless for Machine Learning,"Henrik Hellström, José Mairton B. da Silva Jr., Mohammad Mohammadi Amiri, Mingzhe Chen, Viktoria Fodor",2022,1,,,,
Machine Learning Guide,Simone Capostagno,2018,1,,,,
Machine Learning Essentials,Alboukadel Kassambara,2018,1,,,,
MACHINE LEARNING,Mark Paul,2017,1,,,,
Mastering Machine Learning,Govindakumar Madhavan,2025,1,,,,"This book covers all aspects of machine learning (ML) from concepts and math to ML programming. ML concepts and the math associated with ML are written from an application perspective, rather than from a theoretical perspective. The book presents concepts and algorithms precisely as they are used in real-world applications, ensuring a seamless and practical understanding with no gap between theory and practice. In a distinctive approach, the book's content is complemented by video lectures whose details can be found inside the book. This innovative approach offers readers a multimedia learning experience, accommodating different learning preferences, and reinforcing the material through visual and auditory means. If you are new to Artificial Intelligence and Machine Learning, this could be the first book you read and the first video course you take."
Mastering Machine Learning,Govind Kumar,2025,1,,,,
Machine learning,"William W. Cohen, Haym Hirsh",1994,1,,,"Congresses, Machine learning",
Tiny Machine Learning,"Agbotiname Lucky Imoize, Dinh-Thuan Do, Houbing Song",2025,1,,,Science,
Trustworthy Machine Learning,"Bo Han, Jiangchao Yao, Tongliang Liu, Bo Li, Sanmi Koyejo",2025,1,,,,
Introduction to Machine Learning Algorithms,Ugonna Alinnor,2022,1,,,,
Machine Learning for Beginners,Richie Dorsey,2019,1,,,,
Machine Learning with Python,Reed Cartwright,2022,1,,,,
Concept of Machine Learning,Guy Halleck,2022,1,,,,
Machine Learning : Mastering the Basics,Fritz Matt,2017,1,,,,
Machine Learning Basics : a Practical and High-Level Introduction to Machine Learning for Beginners,Dane Wintringham,2021,1,,,,
Python Machine Learning,Andrew Park,2019,3,,,,
Machine Learning using Python,Manaranjan Pradhan and U Dinesh Kumar,,1,,,,
Machine Learning,Diego Gosmar,2020,4,,,,
Machine Learning,"RODRIGO F MELLO, Moacir Antonelli Ponti",2018,3,,,Machine learning,
Machine Learning Applications,"Indranath Chatterjee, Sheetal Zalte",2023,4,,,,
Metaheuristics for Machine Learning,"Kanak Kalita, Narayanan Ganesh, S. Balamurugan",2024,4,,,,
Quantum Machine Learning,"Pethuru Raj, Houbing Herbert Song, Dac-Nhuong Le, Narayan Vyas",2024,3,,,,
Machine Learning,"Andreas Lindholm, Niklas Wahlström, Fredrik Lindsten, Thomas B. Schön",2022,3,,,Science,
Machine Learning Algorithms,"Fuwei Li, Lifeng Lai, Shuguang Cui",2022,2,,,,
Evolutionary Machine Learning Techniques,"Seyedali Mirjalili, Hossam Faris, Ibrahim Aljarah",2019,3,,,,
Mastering Azure Machine Learning,"Christoph Körner, Kaijisse Waaijer",2020,3,,,,
Pattern Recognition and Machine Learning,Christopher M. Bishop,2016,1,,,Science,
Introduction to Machine Learning,Etienne Bernard,2021,3,,,"Computer software, Technology",
Machine Learning in Healthcare,"Bikesh Kumar Singh, G. R. Sinha",2022,5,,,,
Machine Learning for Finance,Saurav Singla,2020,1,,,,
A compendium of machine learning,"Garry Briscoe, Terry Caelli",1995,2,,,"Technique, Learning models (Stochastic processes), Algorithms, Machine learning, Computer Bks - General Information, Science, Computers - General Information, Science/Mathematics, Artificial Intelligence - General, General, Learning models (Stochastic pr, Apprentissage automatique, Algorithmes, Modèles stochastiques d'apprentissage",
Machine Learning on Oracle Cloud,Tural Gulmammadov,2023,1,,,Science,
Machine Learning in Python,Bob Mather,2018,2,,,,
Scala Machine Learning Projects,Rezaul Karim,2018,1,,,,
Machine Learning with Python,Amin Zollanvari,2023,2,,,,
Robust Machine Learning,"Rachid Guerraoui, Nirupam Gupta, Rafael Pinot",2024,2,,,,
Machine Learning with Python,Alexander Cane,2019,2,,,,
MACHINE LEARNING in MATLAB. SUPERVISED LEARNING,G. Peck,2017,1,,,,
Understanding Machine Learning,"Shai Shalev-Shwartz, Shai Ben-David",2014,4,,,"Machine learning, Algorithms, COMPUTERS / Computer Vision & Pattern Recognition",
Python Machine Learning,Oliver Soranson,2019,2,,,,
Hands on Machine Learning with Scikit Learn,Amir Ali,2019,2,,,,
The big short,"Michael Lewis, Francisco José Ramos Mena",2009,30,,,"Economic conditions, Global Financial Crisis, 2008-2009, Financial crises, History, Finance, Nonfiction, New York Times bestseller, nyt:paperback_business_books=2012-02-25, Economic Recession, Crises financières, History, 21st Century, Global Financial Crisis (2008-2009) fast (OCoLC)fst01755654, Conditions économiques, Economics, Crise financière mondiale, 2008-2009, Histoire, Politique du crédit, Crise financière, Instruments financiers, Hypothèques, Krach, 2008, Institutions financières, Economic history, United states, economic conditions, 2001-2009, Large type books, nyt:paperback-nonfiction=2011-02-20, New York Times reviewed, nyt:business-books=2016-01-10, nyt:e-book-nonfiction=2011-02-13, Leerverkauf, Finanzmarktkrise, Welt, Wertpapierspekulation, Wertpapierhandel, Investment banking, Financial services industry, Industry, Corrupt practices, Banks and banking, corrupt practices, Condiciones económicas, Crisis financieras, Historia","The #1 *New York Times* bestseller: a brilliant account—character-rich and darkly humorous—of how the U.S. economy was driven over the cliff.

When the crash of the U. S. stock market became public knowledge in the fall of 2008, it was already old news. The real crash, the silent crash, had taken place over the previous year, in bizarre feeder markets where the sun doesn’t shine, and the SEC doesn’t dare, or bother, to tread: the bond and real estate derivative markets where geeks invent impenetrable securities to profit from the misery of lower- and middle-class Americans who can’t pay their debts. The smart people who understood what was or might be happening were paralyzed by hope and fear; in any case, they weren’t talking.

The crucial question is this: Who understood the risk inherent in the assumption of ever-rising real estate prices, a risk compounded daily by the creation of those arcane, artificial securities loosely based on piles of doubtful mortgages? Michael Lewis turns the inquiry on its head to create a fresh, character-driven narrative brimming with indignation and dark humor, a fitting sequel to his #1 best-selling *Liar’s Poker*. Who got it right? he asks. Who saw the real estate market for the black hole it would become, and eventually made billions of dollars from that perception? And what qualities of character made those few persist when their peers and colleagues dismissed them as Chicken Littles? Out of this handful of unlikely—really unlikely—heroes, Lewis fashions a story as compelling and unusual as any of his earlier bestsellers, proving yet again that he is the finest and funniest chronicler of our times."
MACHINE LEARNING CON PYTHON,"Sebastian Raschka, Vahid Mirjalili",2021,1,,,,
Computational trust models and machine learning,"Liu, Xin (Mathematician), Anwitaman Datta, Ee-Peng Lim",2014,5,,,"Computational intelligence, Machine learning, Truthfulness and falsehood, Mathematical models, COMPUTERS / Machine Theory, COMPUTERS / Software Development & Engineering / Systems Analysis & Design, TECHNOLOGY & ENGINEERING / Electronics / General, Intelligence informatique, Apprentissage automatique, Mensonge, Modèles mathématiques, COMPUTERS, General","""This book provides an introduction to computational trust models from a machine learning perspective. After reviewing traditional computational trust models, it discusses a new trend of applying formerly unused machine learning methodologies, such as supervised learning. The application of various learning algorithms, such as linear regression, matrix decomposition, and decision trees, illustrates how to translate the trust modeling problem into a (supervised) learning problem. The book also shows how novel machine learning techniques can improve the accuracy of trust assessment compared to traditional approaches""--"
Machine Learning and Ai in Finance,"Germán Creamer, Gary Kazantsev, Tomaso Aste",2021,5,,,Finance,
Applied genetic programming and machine learning,Hitoshi Iba,2009,6,,,"Machine learning, Computer programming, Genetic programming (Computer science), Programmation génétique (Informatique), Apprentissage automatique",
Machine learning,"European Conference on Machine Learning (12th 2001 Freiburg, Germany)",2001,1,,,"Congresses, Machine learning, Industrial applications",
Machine Learning for Mobile,"Revathi Gopalakrishnan, Avinash Venkateswarlu",2018,2,,,Machine learning,
Python Machine Learning,Anthony MC Fedden,2019,1,,,,
Machine Learning with Python,Hasanraza ANSARI,2020,1,,,,
Artificial Intelligence : Types of Machine Learning Reinforcement,Rueben Mabel,2021,1,,,,
Mastering Azure Machine Learning,"Christoph Korner, Marcel Alsdorf",2022,1,,,,
Practical Machine Learning with R and Python,Tinniam V. Ganesh,2017,1,,,,
Machine Learning,Lilly Trinity,2019,1,,,,
Machine Learning and Artificial Intelligence,Mark Howard,2018,1,,,,
Machine learning,"European Conference on Machine Learning (18th 2007 Warsaw, Poland)",2007,1,,,"Congresses, Machine learning, Computer software, Computer science, Artificial intelligence, Database management",
Machine Learning for Cybersecurity,Marwan Omar,2022,1,,,,
Machine Learning Journey Deep Learninghb : Machine Learning - a Journey to Deep Learning,LUIS,2021,1,,,,
Metaheuristics in Machine Learning,"Diego Oliva, Essam Halim Houssein, Salvador Hinojosa",2021,2,,,,
Fairness and Machine Learning,"Solon Barocas, Moritz Hardt, Arvind Narayanan",2023,1,,,"Artificial intelligence, Technology, social aspects, Machine learning",
Machine Learning and Metaheuristics,"Uma N. Dulhare, Essam Halim Houssein",2023,2,,,,
